,Val_F1,CV_F1_Mean,CV_F1_Std,Val_ROC_AUC,CV_ROC_AUC_Mean,Val_Precision,Val_Recall,Train_Time_Sec
XGBoost,0.7771,0.7674,0.0048,0.9394,0.9315,0.7113,0.8564,0.3
LightGBM,0.7721,0.7653,0.006,0.9397,0.9308,0.7021,0.8577,0.26
Random Forest,0.7709,0.7617,0.0045,0.9336,0.9261,0.7114,0.8413,0.54
CatBoost,0.7702,0.7607,0.0063,0.9399,0.931,0.6899,0.8715,1.94
Decision Tree,0.7087,0.7126,0.0158,0.8966,0.8819,0.6278,0.8136,0.06
Logistic Regression,0.6969,0.711,0.0079,0.9024,0.9013,0.5941,0.8426,0.05
Naive Bayes,0.6834,0.6973,0.0064,0.8884,0.8845,0.5766,0.8388,0.01
KNN,0.6064,0.5835,0.0089,0.84,0.831,0.7197,0.5239,0.0
